airline,total_flights,avg_departure_delay,avg_arrival_delay,avg_distance,percent_delayed_departures,percent_delayed_arrivals
F9,237381,18.567433787876872,14.81212902464814,884.8735239972871,26.19670487528488,27.166453928494697
AA,1138998,20.657775518482033,15.539534748963563,970.7809372799601,24.773529014098358,25.36387245631687
B6,279442,17.42583791985457,10.913345166438832,1181.16337916276,25.032743825194494,24.85202653860193
NK,301933,14.701453633753184,8.413048590250154,962.7082299715499,23.964919369529003,23.067700450099856
OH,261023,14.228799760940607,10.376292510621669,427.44694145726623,19.284124387506083,21.01309080042755
AS,281369,8.18746557012322,4.8857301266308655,1405.9268611680748,19.41862820708749,20.844513787943946
G4,134402,13.970290620675287,9.610764720763084,905.0824466897814,20.196872070356097,20.712489397479203
MQ,321455,10.626364498918978,7.170493537198053,519.6742592275746,18.50461184302624,20.5487548801543
WN,1650197,11.66993940723441,5.230876677148244,753.9931959638758,22.419141472199986,19.945800410496442
UA,878161,12.156342629654471,5.966831822410697,1120.5380642046275,18.275122671127505,18.91486868581046
OO,858286,12.190845475750507,8.20960379174308,457.0065001642809,17.025793267046183,18.72732399223569
DL,1157942,10.341204481744336,3.7069671883393123,953.3085335880381,16.555233336384724,16.69228683301927
9E,234038,9.346362556507918,2.8661926695664808,456.3692947299157,15.042429007255231,15.950828497936232
HA,91682,6.045385135577321,5.102299251761523,904.925056172422,13.574093060797104,15.934425514277612
YX,347293,4.191861051043356,-1.485483439055783,495.83063004437173,11.496920467731858,13.625094660704361
