airport,total_departures,avg_dep_delay,avg_arr_delay,latitude,longitude
HTS,466,38.26394849785408,37.60515021459227,,
DEC,946,28.224101479915433,23.062367864693446,,
EWN,51,63.03921568627451,53.90196078431372,,
ELM,1159,28.626402070750647,21.98274374460742,,
SMX,124,43.82258064516129,42.62903225806452,,
MGW,37,72.62162162162163,69.05405405405405,,
CIU,850,27.71294117647059,22.31764705882353,,
OTH,379,33.155672823219,27.5778364116095,,
CKB,237,41.51476793248945,40.244725738396625,,
HGR,330,31.348484848484848,28.612121212121213,,
